fraction_removed,lcc_fraction,lcc_std,network,strategy
0.7599812558575445,0.08415651358950328,0.019227730073881816,AS Internet,random failure
0.7699156513589503,0.0785473289597001,0.018665793438117168,AS Internet,random failure
0.7799437675726335,0.07174789128397376,0.01963604548228164,AS Internet,random failure
0.7899718837863168,0.06649953139643862,0.01834947990169483,AS Internet,random failure
0.8,0.06098406747891284,0.017395764900719514,AS Internet,random failure
0.8099343955014058,0.054746954076850984,0.015337144726167913,AS Internet,random failure
0.819962511715089,0.04841611996251172,0.013892957832164638,AS Internet,random failure
0.8299906279287722,0.04178069353327085,0.014162867852817104,AS Internet,random failure
0.839925023430178,0.037511715089034676,0.014236130083014003,AS Internet,random failure
0.8499531396438613,0.03256794751640112,0.013001923390618429,AS Internet,random failure
0.8599812558575445,0.027516401124648548,0.012907030791341432,AS Internet,random failure
