fraction_removed,lcc_fraction,lcc_std,network,model,strategy
0.7199625117150891,0.11558575445173383,0.021492493019986243,AS Internet,real,random failure
0.7299906279287722,0.1054123711340206,0.022702648038113848,AS Internet,real,random failure
0.7399250234301781,0.09876757263355201,0.021346860162542523,AS Internet,real,random failure
0.7499531396438613,0.09031396438612935,0.019263978939812177,AS Internet,real,random failure
0.7599812558575445,0.0841565135895033,0.01874087307476245,AS Internet,real,random failure
0.7699156513589503,0.0785473289597001,0.018193164992401267,AS Internet,real,random failure
0.7799437675726335,0.07174789128397374,0.019138849706111426,AS Internet,real,random failure
0.7899718837863168,0.06649953139643862,0.017884860693602487,AS Internet,real,random failure
0.8,0.06098406747891284,0.016955294295795925,AS Internet,real,random failure
0.8099343955014058,0.054746954076850984,0.014948799548253002,AS Internet,real,random failure
0.819962511715089,0.04841611996251172,0.01354118028312117,AS Internet,real,random failure
